Path,Type,Size
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_01.py,File,980
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_02.py,File,1681
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_03.py,File,876
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_04.py,File,1619
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_05.py,File,706
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_06.py,File,1050
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\task_07.py,File,809
C:\Users\Nitro V15\Desktop\Dive_into_Python\Seminars\Seminar_8\HW,Directory,2941
